"filename", "language", "Python", "Markdown", "CSS", "JavaScript", "Django HTML", "comment", "blank", "total"
"b:\shoppinglyx-main\shoppinglyx-main\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 1, 4
"b:\shoppinglyx-main\shoppinglyx-main\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"b:\shoppinglyx-main\shoppinglyx-main\app\admin.py", "Python", 27, 0, 0, 0, 0, 1, 9, 37
"b:\shoppinglyx-main\shoppinglyx-main\app\apps.py", "Python", 3, 0, 0, 0, 0, 0, 3, 6
"b:\shoppinglyx-main\shoppinglyx-main\app\forms.py", "Python", 46, 0, 0, 0, 0, 0, 8, 54
"b:\shoppinglyx-main\shoppinglyx-main\app\migrations\0001_initial.py", "Python", 56, 0, 0, 0, 0, 1, 7, 64
"b:\shoppinglyx-main\shoppinglyx-main\app\migrations\0002_alter_product_category.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"b:\shoppinglyx-main\shoppinglyx-main\app\migrations\0003_alter_orderplaced_status.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"b:\shoppinglyx-main\shoppinglyx-main\app\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"b:\shoppinglyx-main\shoppinglyx-main\app\models.py", "Python", 97, 0, 0, 0, 0, 1, 19, 117
"b:\shoppinglyx-main\shoppinglyx-main\app\static\app\css\all.min.css", "CSS", 0, 0, 1, 0, 0, 4, 0, 5
"b:\shoppinglyx-main\shoppinglyx-main\app\static\app\css\owl.carousel.min.css", "CSS", 0, 0, 1, 0, 0, 5, 0, 6
"b:\shoppinglyx-main\shoppinglyx-main\app\static\app\css\style.css", "CSS", 0, 0, 59, 0, 0, 27, 12, 98
"b:\shoppinglyx-main\shoppinglyx-main\app\static\app\js\all.min.js", "JavaScript", 0, 0, 0, 1, 0, 4, 0, 5
"b:\shoppinglyx-main\shoppinglyx-main\app\static\app\js\myscript.js", "JavaScript", 0, 0, 0, 72, 0, 3, 6, 81
"b:\shoppinglyx-main\shoppinglyx-main\app\static\app\js\owl.carousel.min.js", "JavaScript", 0, 0, 0, 2, 0, 5, 0, 7
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\accessories.html", "Django HTML", 0, 0, 0, 0, 39, 0, 0, 39
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\address.html", "Django HTML", 0, 0, 0, 0, 34, 0, 3, 37
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\addtocart.html", "Django HTML", 0, 0, 0, 0, 153, 0, 7, 160
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\base.html", "Django HTML", 0, 0, 0, 0, 103, 0, 10, 113
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\buynow.html", "Django HTML", 0, 0, 0, 0, 6, 0, 0, 6
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\camera.html", "Django HTML", 0, 0, 0, 0, 35, 0, 0, 35
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\changepassword.html", "Django HTML", 0, 0, 0, 0, 32, 0, 0, 32
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\checkout.html", "Django HTML", 0, 0, 0, 0, 47, 0, 5, 52
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\customerregistration.html", "Django HTML", 0, 0, 0, 0, 33, 0, 3, 36
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\emptycart.html", "Django HTML", 0, 0, 0, 0, 13, 0, 2, 15
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\headphones.html", "Django HTML", 0, 0, 0, 0, 38, 0, 1, 39
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\home.html", "Django HTML", 0, 0, 0, 0, 197, 0, 17, 214
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\laptop.html", "Django HTML", 0, 0, 0, 0, 39, 0, 0, 39
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\login.html", "Django HTML", 0, 0, 0, 0, 29, 0, 3, 32
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\mobile.html", "Django HTML", 0, 0, 0, 0, 39, 0, 0, 39
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\orders.html", "Django HTML", 0, 0, 0, 0, 62, 0, 6, 68
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\payment.html", "Django HTML", 0, 0, 0, 0, 48, 0, 3, 51
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\productdetail.html", "Django HTML", 0, 0, 0, 0, 45, 0, 6, 51
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\profile.html", "Django HTML", 0, 0, 0, 0, 33, 0, 5, 38
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\television.html", "Django HTML", 0, 0, 0, 0, 37, 0, 0, 37
"b:\shoppinglyx-main\shoppinglyx-main\app\templates\app\watches.html", "Django HTML", 0, 0, 0, 0, 37, 0, 0, 37
"b:\shoppinglyx-main\shoppinglyx-main\app\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"b:\shoppinglyx-main\shoppinglyx-main\app\urls.py", "Python", 54, 0, 0, 0, 0, 0, 2, 56
"b:\shoppinglyx-main\shoppinglyx-main\app\views.py", "Python", 433, 0, 0, 0, 0, 4, 57, 494
"b:\shoppinglyx-main\shoppinglyx-main\manage.py", "Python", 17, 0, 0, 0, 0, 1, 5, 23
"b:\shoppinglyx-main\shoppinglyx-main\shoppinglyx\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"b:\shoppinglyx-main\shoppinglyx-main\shoppinglyx\asgi.py", "Python", 10, 0, 0, 0, 0, 0, 7, 17
"b:\shoppinglyx-main\shoppinglyx-main\shoppinglyx\settings.py", "Python", 79, 0, 0, 0, 0, 15, 36, 130
"b:\shoppinglyx-main\shoppinglyx-main\shoppinglyx\urls.py", "Python", 6, 0, 0, 0, 0, 0, 2, 8
"b:\shoppinglyx-main\shoppinglyx-main\shoppinglyx\wsgi.py", "Python", 10, 0, 0, 0, 0, 0, 7, 17
"Total", "-", 863, 3, 61, 75, 1099, 74, 269, 2444
